iteration,kDOC,kA,lA,pA,hA,mA,decay,cA,v,rec,SSE
result.1,0.57071771,0.002035488,0.170103453,0.529547402,76.71152232,4.248982895,0.007102725,0.007643291,0.017893302,0.649653529,69760544.8
result.2,0.268764319,0.00362139,0.266600852,1.114641481,76.82645665,5.761398439,0.0031505,0.005537717,0.013064272,0.876124809,63355065.29
result.3,0.132480068,0.001568399,0.023796869,1.02818562,44.91533913,7.197044119,0.003074946,0.023019431,0.015807554,0.52819036,67736827.78
result.4,0.584165866,0.004095401,0.028660208,1.353589552,24.98757368,3.135730506,0.000565514,0.023634065,0.029796867,0.443856651,68674175.68
result.5,0.754005454,0.002581641,0.021453479,0.298648895,77.33234225,8.433186555,0.009544692,0.020908725,0.042632569,0.95997626,69710118.48
result.6,0.272183183,0.004510504,0.278817842,1.813958171,52.74736123,2.177264395,0.004711769,0.020678844,0.00928937,0.22302563,68703768.26
result.7,0.467085083,0.002857574,0.210539713,0.945105535,70.35593066,0.803855988,0.001979065,0.017072547,0.016756196,0.802961402,67738142.68
result.8,0.117927521,0.00026794,0.055505381,1.588103473,68.21171589,2.024084212,0.000629619,0.023912001,0.026106729,0.20647444,69511211.74
result.9,0.764174748,0.002633379,0.215559034,0.347625092,71.97735712,7.965439528,0.005777288,0.015941475,0.015334718,0.656023356,74465267.25
result.10,0.211121746,0.001592093,0.015242007,1.640971777,54.14283585,7.007056636,0.002061109,0.018905871,0.033315292,0.626691369,66899908.48
result.11,0.350568995,0.002867562,0.079600901,1.091171633,45.36605341,3.688881799,0.009013441,0.022318758,0.00606753,0.552623629,66377393.12
result.12,0.452130809,0.002518083,0.029376379,0.514874217,48.64832586,3.272347051,0.004755601,0.013948839,0.008089197,0.570996207,64103599.55
result.13,0.510281655,0.003412851,0.07700806,1.126598951,78.38029778,0.12512328,0.007922111,0.01812864,0.021115077,0.756444609,59716192.07
result.14,0.553857495,0.001155612,0.280734294,1.156950963,84.369152,0.331220115,0.002466168,0.005526583,0.016086817,0.492243259,64172081.85
result.15,0.051778968,0.003889023,0.118897443,1.964836896,58.59733613,1.277703863,0.002383208,0.019575334,0.022052686,0.919136941,49658900.39
result.16,0.491429856,0.000487591,0.104449772,0.255069032,56.60583047,7.600818168,0.0046222,0.005078269,0.025148338,0.465281721,69697828.62
result.17,0.091774774,0.000861348,0.148457516,0.825449951,41.46476418,4.554172648,0.006670565,0.018263945,0.014539759,0.692182455,63330702.93
result.18,0.113914262,0.00096278,0.223815768,1.22279326,54.56613626,4.563496258,0.008187112,0.008596699,0.011195492,0.982114757,34110334.91
result.19,0.321908494,0.004236927,0.181424959,0.196751042,71.38729252,5.74314902,0.006780759,0.020260168,0.019695267,0.535203871,74465267.25
